moduleId,tDiff,tSync,timeOffsetL,timeOffsetR,effectiveSpeed,pedestalL,pedestalR,energyGainL,energyGainR,lightAtt,PMTSatL,PMTSatR,PMTThresL,PMTThresR
729,118.122,1.21685,-60.2776,57.8439,-8.02655,15,15,15.3869,16.0497,327.46,0.0269271,0.0280869,1.30702,1.12503
730,117.45,1.51953,-60.2446,57.2056,-7.99289,18,15,16.3142,16.2468,304.168,0.0285499,0.0284318,1.13461,1.16939
731,119.276,0.576216,-60.2142,59.0617,-7.99234,15,16,17.642,17.8385,281.62,0.0308734,0.0312173,1.06719,1.18633
732,116.047,0.526504,-58.5499,57.4969,-7.89527,15,16,15.4543,15.4493,338.811,0.0270451,0.0270363,1.33172,1.38939
733,118.812,1.10664,-60.5129,58.2996,-8.04756,15,13,16.944,17.482,296.292,0.0296519,0.0305934,1.23892,1.18302
734,119.279,-0.426159,-59.2132,60.0655,-7.99268,18,14,16.0892,18.9674,301.349,0.0281561,0.033193,1.16099,1.23433
735,120.337,0.114029,-60.2826,60.0546,-7.99089,15,12,16.5437,17.2432,318.875,0.0289515,0.0301757,1.18123,1.23571
736,119.786,1.03624,-60.929,58.8566,-8.06726,16,13,16.017,16.7292,292.98,0.0280297,0.0292761,1.14921,1.17723
737,122.375,-1.34198,-59.8457,62.5297,-7.92416,16,16,16.6399,16.4783,311.42,0.0291198,0.028837,1.2439,1.07105
738,122.52,-1.23265,-60.0273,62.4926,-7.9441,16,13,15.6816,16.7424,300.233,0.0274428,0.0292993,1.22226,1.29082
739,119.956,-0.566492,-59.4115,60.5445,-7.99496,17,17,18.0045,19.1021,273.077,0.0315079,0.0334287,0.988945,1.05872
740,118.381,-0.878306,-58.3121,60.0687,-8.05764,14,14,17.4337,17.9571,278.602,0.0305089,0.031425,1.09391,1.12409
741,119.171,-1.23401,-58.3516,60.8197,-8.0277,16,16,17.7681,18.3591,277.557,0.0310941,0.0321285,1.01974,0.977425
742,122.944,-0.565888,-60.9062,62.038,-8.02075,15,15,17.9823,17.7395,269.177,0.031469,0.0310441,1.13738,1.08304
743,116.649,-1.69065,-56.6337,60.015,-7.96289,20,15,17.3684,16.9543,285.357,0.0303946,0.02967,1.04073,1.26902
744,117.783,-3.16714,-55.7246,62.0588,-8.09108,13,14,15.9602,16.9554,305.482,0.0279303,0.029672,1.27598,1.12138
745,118.1,-1.62418,-57.4257,60.6741,-8.03422,15,16,19.7675,18.8628,263.986,0.0345931,0.0330098,1.11717,0.982997
746,117.29,-0.688351,-57.9566,59.3333,-8.03503,16,16,18.8236,19.4059,264.86,0.0329414,0.0339604,1.169,1.07683
747,118.646,-1.93974,-57.3833,61.2627,-7.99995,16,17,18.4626,18.5862,266.707,0.0323096,0.0325259,1.10724,1.08658
748,118.361,-2.52285,-56.6578,61.7035,-8.0447,15,13,15.909,17.2253,315.135,0.0278408,0.0301443,1.42732,1.20979
749,118.781,-1.51233,-57.8779,60.9026,-7.97164,17,15,18.3773,17.9103,262.94,0.0321602,0.0313431,1.29885,1.29311
750,119.795,-2.77853,-57.1189,62.676,-7.95171,19,16,17.682,18.3185,271.043,0.0309435,0.0320574,1.29364,1.37399
751,-5.3625,-60.2087,62.89,57.5275,-8.10479,22,17,18.0988,16.511,285.505,0.0316729,0.0288943,1.11365,1.23714
752,-3.79798,-58.7463,60.6453,56.8473,-8.03274,19,14,16.0737,16.7133,307.338,0.028129,0.0292483,1.40185,1.52655
753,-6.08706,-58.6897,61.7332,55.6462,-7.95541,21,25,16.0793,16.1148,302.218,0.0281388,0.0282009,0.715445,0.690141
